Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/29/2009	12:29:58 AM	47.65912	-122.37623
10/29/2009	12:30:02 AM	47.65873	-122.37625
10/29/2009	12:30:14 AM	47.65713	-122.37652
10/29/2009	12:30:21 AM	47.65618	-122.37625
10/29/2009	12:30:26 AM	47.65560	-122.37628
10/29/2009	12:30:31 AM	47.65497	-122.37627
10/29/2009	12:30:36 AM	47.65442	-122.37627
10/29/2009	12:30:41 AM	47.65398	-122.37633
10/29/2009	12:30:46 AM	47.65395	-122.37707
10/29/2009	12:30:51 AM	47.65398	-122.37803
10/29/2009	12:30:56 AM	47.65400	-122.37908
10/29/2009	12:31:01 AM	47.65398	-122.38015
10/29/2009	12:31:06 AM	47.65412	-122.38107
10/29/2009	12:31:11 AM	47.65463	-122.38177
10/29/2009	12:31:16 AM	47.65505	-122.38232
10/29/2009	12:31:21 AM	47.65537	-122.38268
10/29/2009	12:31:26 AM	47.65558	-122.38317
10/29/2009	12:31:31 AM	47.65577	-122.38373
10/29/2009	12:31:36 AM	47.65600	-122.38435
10/29/2009	12:31:41 AM	47.65612	-122.38500
10/29/2009	12:31:46 AM	47.65610	-122.38547
10/29/2009	12:31:51 AM	47.65608	-122.38568
10/29/2009	12:31:56 AM	47.65610	-122.38570
10/29/2009	12:32:01 AM	47.65603	-122.38585
10/29/2009	12:32:06 AM	47.65605	-122.38597
10/29/2009	12:32:11 AM	47.65605	-122.38608
10/29/2009	12:32:16 AM	47.65602	-122.38620
10/29/2009	12:32:21 AM	47.65598	-122.38633
10/29/2009	12:32:26 AM	47.65595	-122.38647
10/29/2009	12:32:31 AM	47.65635	-122.38698
10/29/2009	12:32:36 AM	47.65683	-122.38755
10/29/2009	12:32:41 AM	47.65728	-122.38815
10/29/2009	12:32:46 AM	47.65778	-122.38877
10/29/2009	12:32:51 AM	47.65830	-122.38945
10/29/2009	12:32:56 AM	47.65887	-122.39013
10/29/2009	12:33:01 AM	47.65943	-122.39083
10/29/2009	12:33:06 AM	47.65997	-122.39152
10/29/2009	12:33:11 AM	47.66045	-122.39232
10/29/2009	12:33:16 AM	47.66090	-122.39312
10/29/2009	12:33:21 AM	47.66125	-122.39398
10/29/2009	12:33:26 AM	47.66140	-122.39492
10/29/2009	12:33:31 AM	47.66133	-122.39588
10/29/2009	12:33:36 AM	47.66133	-122.39683
10/29/2009	12:33:41 AM	47.66132	-122.39772
10/29/2009	12:33:46 AM	47.66100	-122.39828
10/29/2009	12:33:51 AM	47.66040	-122.39825
10/29/2009	12:33:56 AM	47.66000	-122.39857
10/29/2009	12:34:01 AM	47.65993	-122.39947
10/29/2009	12:34:06 AM	47.65987	-122.40018
10/29/2009	12:34:11 AM	47.65958	-122.40068
10/29/2009	12:34:16 AM	47.65928	-122.40095
10/29/2009	12:34:21 AM	47.65910	-122.40097
10/29/2009	12:34:26 AM	47.65855	-122.40090
10/29/2009	12:34:36 AM	47.65737	-122.40088
10/29/2009	12:34:41 AM	47.65682	-122.40088
10/29/2009	12:34:46 AM	47.65627	-122.40088
10/29/2009	3:04:12 AM	47.65645	-122.40088
10/29/2009	3:04:17 AM	47.65702	-122.40088
10/29/2009	3:04:22 AM	47.65758	-122.40088
10/29/2009	3:04:27 AM	47.65818	-122.40093
10/29/2009	3:04:32 AM	47.65873	-122.40093
10/29/2009	3:04:37 AM	47.65923	-122.40100
10/29/2009	3:04:42 AM	47.65933	-122.40098
10/29/2009	3:04:47 AM	47.65962	-122.40058
