Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/23/2009	1:20:08 AM	47.62517	-122.14937
10/23/2009	1:20:13 AM	47.62515	-122.14937
10/23/2009	1:20:18 AM	47.62517	-122.14937
10/23/2009	1:20:23 AM	47.62517	-122.14938
10/23/2009	1:20:28 AM	47.62517	-122.14938
10/23/2009	1:20:33 AM	47.62562	-122.14900
10/23/2009	1:20:38 AM	47.62545	-122.14920
10/23/2009	1:20:43 AM	47.62558	-122.14910
10/23/2009	1:20:48 AM	47.62532	-122.14922
10/23/2009	1:20:53 AM	47.62512	-122.14943
10/23/2009	1:20:58 AM	47.62507	-122.14938
10/23/2009	1:21:03 AM	47.62507	-122.14945
10/23/2009	1:21:09 AM	47.62503	-122.14940
10/23/2009	1:21:14 AM	47.62485	-122.14960
10/23/2009	1:21:19 AM	47.62477	-122.15023
10/23/2009	1:21:40 AM	47.62422	-122.15350
10/23/2009	1:21:45 AM	47.62455	-122.15367
10/23/2009	1:21:50 AM	47.62520	-122.15355
10/23/2009	1:21:55 AM	47.62570	-122.15360
10/23/2009	1:22:00 AM	47.62608	-122.15367
10/23/2009	1:22:05 AM	47.62643	-122.15368
10/23/2009	1:22:10 AM	47.62678	-122.15368
10/23/2009	1:22:15 AM	47.62737	-122.15347
10/23/2009	1:22:20 AM	47.62715	-122.15378
10/23/2009	1:22:25 AM	47.62730	-122.15383
10/23/2009	1:22:30 AM	47.62778	-122.15387
10/23/2009	1:22:35 AM	47.62780	-122.15443
10/23/2009	1:22:40 AM	47.62763	-122.15543
10/23/2009	1:22:45 AM	47.62770	-122.15608
10/23/2009	1:22:50 AM	47.62770	-122.15713
10/23/2009	1:22:55 AM	47.62765	-122.15808
10/23/2009	1:23:00 AM	47.62827	-122.15868
10/23/2009	1:23:05 AM	47.62818	-122.15975
10/23/2009	1:23:10 AM	47.62815	-122.16088
10/23/2009	1:23:15 AM	47.62812	-122.16193
10/23/2009	1:23:20 AM	47.62812	-122.16290
10/23/2009	1:23:25 AM	47.62810	-122.16383
10/23/2009	1:23:30 AM	47.62810	-122.16475
10/23/2009	1:23:35 AM	47.62810	-122.16560
10/23/2009	1:23:39 AM	47.62812	-122.16635
10/23/2009	1:23:44 AM	47.62813	-122.16717
10/23/2009	1:23:49 AM	47.62815	-122.16800
10/23/2009	1:23:54 AM	47.62817	-122.16888
10/23/2009	1:23:59 AM	47.62822	-122.16977
10/23/2009	1:24:04 AM	47.62840	-122.17065
10/23/2009	1:24:09 AM	47.62870	-122.17153
10/23/2009	1:24:14 AM	47.62898	-122.17242
10/23/2009	1:24:19 AM	47.62925	-122.17325
10/23/2009	1:24:24 AM	47.62948	-122.17400
10/23/2009	1:24:29 AM	47.62963	-122.17470
10/23/2009	1:24:34 AM	47.62992	-122.17505
10/23/2009	1:24:39 AM	47.63050	-122.17525
10/23/2009	1:24:44 AM	47.63112	-122.17548
10/23/2009	1:24:49 AM	47.63173	-122.17607
10/23/2009	1:24:54 AM	47.63182	-122.17730
10/23/2009	1:24:59 AM	47.63195	-122.17852
10/23/2009	1:25:04 AM	47.63212	-122.17978
10/23/2009	1:25:09 AM	47.63222	-122.18110
10/23/2009	1:25:14 AM	47.63220	-122.18242
10/23/2009	1:25:19 AM	47.63215	-122.18367
10/23/2009	1:25:24 AM	47.63213	-122.18488
10/23/2009	1:25:29 AM	47.63218	-122.18603
10/23/2009	1:25:34 AM	47.63263	-122.18688
10/23/2009	1:25:39 AM	47.63347	-122.18693
10/23/2009	1:25:44 AM	47.63430	-122.18665
10/23/2009	1:25:49 AM	47.63527	-122.18640
10/23/2009	1:25:54 AM	47.63630	-122.18618
10/23/2009	1:25:59 AM	47.63725	-122.18615
10/23/2009	1:26:04 AM	47.63815	-122.18618
10/23/2009	1:26:09 AM	47.63908	-122.18620
10/23/2009	1:26:14 AM	47.64007	-122.18618
10/23/2009	1:26:19 AM	47.64102	-122.18617
10/23/2009	1:26:24 AM	47.64192	-122.18618
10/23/2009	1:26:29 AM	47.64275	-122.18628
10/23/2009	1:26:34 AM	47.64360	-122.18640
10/23/2009	1:26:39 AM	47.64453	-122.18648
10/23/2009	1:26:44 AM	47.64555	-122.18658
10/23/2009	1:26:49 AM	47.64657	-122.18663
10/23/2009	1:26:54 AM	47.64753	-122.18663
10/23/2009	1:26:59 AM	47.64853	-122.18667
10/23/2009	1:27:04 AM	47.64958	-122.18673
10/23/2009	1:27:09 AM	47.65067	-122.18677
10/23/2009	1:27:14 AM	47.65173	-122.18675
10/23/2009	1:27:19 AM	47.65282	-122.18675
10/23/2009	1:27:24 AM	47.65390	-122.18678
10/23/2009	1:27:29 AM	47.65498	-122.18678
10/23/2009	1:27:34 AM	47.65612	-122.18683
10/23/2009	1:27:39 AM	47.65717	-122.18687
10/23/2009	1:27:44 AM	47.65798	-122.18687
10/23/2009	1:27:49 AM	47.65858	-122.18685
10/23/2009	1:27:54 AM	47.65902	-122.18682
10/23/2009	1:27:59 AM	47.65938	-122.18678
10/23/2009	1:28:04 AM	47.65975	-122.18678
10/23/2009	1:28:09 AM	47.66005	-122.18678
10/23/2009	1:28:14 AM	47.66047	-122.18678
10/23/2009	1:28:19 AM	47.66105	-122.18677
10/23/2009	1:28:24 AM	47.66170	-122.18678
10/23/2009	1:28:29 AM	47.66230	-122.18678
10/23/2009	1:28:34 AM	47.66302	-122.18678
10/23/2009	1:28:39 AM	47.66380	-122.18678
10/23/2009	1:28:44 AM	47.66460	-122.18682
10/23/2009	1:28:49 AM	47.66545	-122.18680
10/23/2009	1:28:54 AM	47.66633	-122.18678
10/23/2009	1:28:59 AM	47.66723	-122.18678
10/23/2009	1:29:04 AM	47.66815	-122.18677
10/23/2009	1:29:09 AM	47.66910	-122.18675
10/23/2009	1:29:14 AM	47.67007	-122.18668
10/23/2009	1:29:19 AM	47.67105	-122.18652
10/23/2009	1:29:24 AM	47.67198	-122.18622
10/23/2009	1:29:29 AM	47.67285	-122.18587
10/23/2009	1:29:34 AM	47.67370	-122.18547
10/23/2009	1:29:39 AM	47.67455	-122.18497
10/23/2009	1:29:44 AM	47.67542	-122.18452
10/23/2009	1:29:49 AM	47.67630	-122.18425
10/23/2009	1:29:54 AM	47.67717	-122.18413
10/23/2009	1:29:59 AM	47.67803	-122.18415
10/23/2009	1:30:04 AM	47.67890	-122.18413
10/23/2009	1:30:09 AM	47.67972	-122.18405
10/23/2009	1:30:14 AM	47.68028	-122.18367
10/23/2009	1:30:19 AM	47.68018	-122.18282
10/23/2009	1:30:24 AM	47.67965	-122.18273
10/23/2009	1:30:29 AM	47.67933	-122.18328
10/23/2009	1:30:34 AM	47.67927	-122.18402
10/23/2009	1:30:40 AM	47.67922	-122.18492
10/23/2009	1:30:45 AM	47.67923	-122.18595
10/23/2009	1:30:50 AM	47.67923	-122.18682
10/23/2009	1:30:55 AM	47.67927	-122.18738
10/23/2009	1:31:00 AM	47.67938	-122.18768
10/23/2009	1:31:05 AM	47.67967	-122.18780
10/23/2009	1:31:10 AM	47.67998	-122.18807
10/23/2009	1:31:15 AM	47.68033	-122.18815
10/23/2009	1:38:55 AM	47.69480	-122.21003
10/23/2009	1:39:00 AM	47.69500	-122.21008
10/23/2009	1:39:05 AM	47.69535	-122.21003
10/23/2009	1:39:10 AM	47.69588	-122.20995
10/23/2009	1:39:15 AM	47.69677	-122.20977
10/23/2009	1:39:20 AM	47.69730	-122.20903
10/23/2009	1:39:26 AM	47.69793	-122.20822
10/23/2009	1:39:31 AM	47.69865	-122.20813
10/23/2009	1:39:36 AM	47.69932	-122.20828
10/23/2009	1:39:41 AM	47.70002	-122.20845
10/23/2009	1:39:46 AM	47.70073	-122.20860
10/23/2009	1:39:51 AM	47.70148	-122.20885
10/23/2009	1:40:09 AM	47.70317	-122.21032
10/23/2009	1:40:14 AM	47.70313	-122.21033
10/23/2009	1:40:19 AM	47.70337	-122.21045
10/23/2009	1:40:24 AM	47.70397	-122.21033
10/23/2009	1:40:29 AM	47.70445	-122.21030
10/23/2009	1:40:34 AM	47.70495	-122.21027
10/23/2009	1:40:39 AM	47.70543	-122.21033
10/23/2009	1:40:44 AM	47.70587	-122.21040
10/23/2009	1:40:49 AM	47.70628	-122.21045
10/23/2009	1:40:54 AM	47.70677	-122.21045
10/23/2009	1:40:59 AM	47.70725	-122.21048
10/23/2009	1:41:04 AM	47.70757	-122.21052
10/23/2009	1:41:09 AM	47.70787	-122.21045
10/23/2009	1:41:14 AM	47.70815	-122.21038
10/23/2009	1:41:24 AM	47.70837	-122.20973
10/23/2009	1:41:50 AM	47.71095	-122.20775
10/23/2009	1:41:55 AM	47.71140	-122.20752
10/23/2009	1:42:00 AM	47.71132	-122.20755
10/23/2009	1:42:05 AM	47.71117	-122.20765
10/23/2009	1:42:10 AM	47.71110	-122.20768
10/23/2009	1:42:15 AM	47.71112	-122.20773
10/23/2009	1:42:20 AM	47.71110	-122.20772
10/23/2009	1:42:25 AM	47.71107	-122.20777
10/23/2009	1:42:30 AM	47.71105	-122.20775
10/23/2009	1:42:35 AM	47.71103	-122.20773
10/23/2009	1:42:40 AM	47.71102	-122.20770
10/23/2009	1:42:45 AM	47.71103	-122.20770
10/23/2009	1:42:50 AM	47.71103	-122.20768
10/23/2009	1:42:55 AM	47.71118	-122.20770
10/23/2009	1:43:00 AM	47.71162	-122.20768
10/23/2009	1:43:05 AM	47.71222	-122.20768
10/23/2009	1:43:10 AM	47.71288	-122.20767
10/23/2009	1:43:15 AM	47.71360	-122.20762
10/23/2009	1:43:20 AM	47.71427	-122.20767
10/23/2009	1:43:27 AM	47.71522	-122.20758
10/23/2009	1:43:32 AM	47.71592	-122.20762
10/23/2009	1:43:37 AM	47.71670	-122.20762
10/23/2009	1:44:06 AM	47.72040	-122.20767
10/23/2009	1:44:11 AM	47.72017	-122.20770
10/23/2009	1:44:16 AM	47.72008	-122.20762
10/23/2009	1:44:21 AM	47.72007	-122.20762
10/23/2009	1:44:26 AM	47.72010	-122.20762
10/23/2009	1:44:31 AM	47.72007	-122.20767
10/23/2009	1:44:43 AM	47.72100	-122.20777
10/23/2009	1:44:48 AM	47.72170	-122.20777
10/23/2009	1:44:53 AM	47.72227	-122.20770
10/23/2009	1:44:58 AM	47.72257	-122.20770
10/23/2009	1:45:03 AM	47.72287	-122.20762
10/23/2009	1:45:08 AM	47.72307	-122.20770
10/23/2009	1:45:13 AM	47.72347	-122.20768
10/23/2009	1:45:18 AM	47.72403	-122.20768
10/23/2009	1:45:23 AM	47.72460	-122.20770
10/23/2009	1:45:30 AM	47.72547	-122.20768
10/23/2009	1:45:35 AM	47.72602	-122.20783
10/23/2009	1:45:40 AM	47.72652	-122.20785
10/23/2009	1:45:45 AM	47.72715	-122.20773
10/23/2009	1:45:50 AM	47.72760	-122.20773
10/23/2009	1:45:55 AM	47.72813	-122.20775
10/23/2009	1:46:00 AM	47.72868	-122.20773
10/23/2009	1:46:05 AM	47.72918	-122.20777
10/23/2009	1:46:10 AM	47.72967	-122.20782
10/23/2009	1:46:23 AM	47.73055	-122.20768
10/23/2009	1:46:28 AM	47.73052	-122.20777
10/23/2009	1:46:33 AM	47.73053	-122.20780
10/23/2009	1:46:38 AM	47.73055	-122.20778
10/23/2009	1:48:42 AM	47.73192	-122.20305
10/23/2009	1:48:47 AM	47.73182	-122.20318
10/23/2009	1:48:52 AM	47.73180	-122.20323
10/23/2009	1:48:57 AM	47.73178	-122.20333
10/23/2009	1:49:02 AM	47.73178	-122.20330
10/23/2009	1:49:08 AM	47.73183	-122.20333
10/23/2009	1:49:14 AM	47.73182	-122.20337
10/23/2009	1:49:19 AM	47.73182	-122.20340
10/23/2009	1:49:24 AM	47.73195	-122.20327
10/23/2009	1:49:29 AM	47.73195	-122.20328
10/23/2009	1:49:34 AM	47.73193	-122.20330
10/23/2009	1:49:39 AM	47.73188	-122.20332
10/23/2009	1:50:44 AM	47.73178	-122.20325
10/23/2009	1:50:49 AM	47.73177	-122.20328
10/23/2009	1:50:54 AM	47.73177	-122.20330
10/23/2009	1:50:59 AM	47.73173	-122.20333
10/23/2009	1:51:04 AM	47.73173	-122.20335
10/23/2009	1:51:09 AM	47.73172	-122.20337
10/23/2009	1:51:14 AM	47.73172	-122.20337
10/23/2009	1:51:19 AM	47.73170	-122.20337
10/23/2009	1:51:24 AM	47.73170	-122.20338
10/23/2009	1:51:29 AM	47.73168	-122.20338
10/23/2009	1:51:34 AM	47.73168	-122.20338
10/23/2009	1:51:39 AM	47.73168	-122.20338
10/23/2009	1:51:44 AM	47.73168	-122.20338
10/23/2009	1:51:49 AM	47.73170	-122.20338
10/23/2009	1:51:54 AM	47.73170	-122.20337
10/23/2009	1:51:59 AM	47.73172	-122.20337
10/23/2009	1:52:04 AM	47.73172	-122.20337
10/23/2009	1:52:09 AM	47.73172	-122.20337
10/23/2009	1:52:14 AM	47.73172	-122.20337
10/23/2009	1:52:19 AM	47.73173	-122.20337
10/23/2009	1:52:24 AM	47.73173	-122.20335
10/23/2009	1:52:29 AM	47.73173	-122.20335
10/23/2009	1:52:34 AM	47.73173	-122.20335
10/23/2009	1:52:39 AM	47.73173	-122.20335
10/23/2009	1:52:44 AM	47.73175	-122.20335
10/23/2009	1:52:49 AM	47.73177	-122.20337
10/23/2009	1:52:54 AM	47.73177	-122.20338
10/23/2009	1:52:59 AM	47.73178	-122.20340
10/23/2009	1:53:04 AM	47.73178	-122.20342
10/23/2009	1:53:09 AM	47.73180	-122.20342
10/23/2009	1:53:14 AM	47.73180	-122.20342
10/23/2009	1:53:19 AM	47.73177	-122.20340
10/23/2009	1:53:24 AM	47.73177	-122.20338
10/23/2009	1:53:29 AM	47.73180	-122.20337
10/23/2009	1:53:34 AM	47.73188	-122.20335
10/23/2009	1:53:39 AM	47.73195	-122.20333
10/23/2009	1:53:44 AM	47.73200	-122.20330
10/23/2009	1:53:49 AM	47.73210	-122.20327
10/23/2009	1:53:54 AM	47.73215	-122.20320
10/23/2009	1:53:59 AM	47.73220	-122.20313
10/23/2009	1:54:06 AM	47.73222	-122.20307
10/23/2009	1:54:11 AM	47.73225	-122.20317
10/23/2009	1:54:16 AM	47.73225	-122.20320
10/23/2009	1:54:21 AM	47.73225	-122.20320
10/23/2009	1:54:26 AM	47.73227	-122.20323
10/23/2009	1:54:31 AM	47.73230	-122.20328
10/23/2009	1:54:36 AM	47.73233	-122.20330
10/23/2009	1:54:41 AM	47.73232	-122.20330
10/23/2009	1:54:46 AM	47.73238	-122.20330
10/23/2009	1:54:51 AM	47.73240	-122.20328
10/23/2009	1:54:56 AM	47.73240	-122.20332
10/23/2009	1:55:01 AM	47.73235	-122.20332
10/23/2009	1:55:06 AM	47.73233	-122.20333
10/23/2009	1:55:11 AM	47.73232	-122.20337
10/23/2009	1:55:16 AM	47.73228	-122.20337
10/23/2009	1:55:22 AM	47.73228	-122.20345
10/23/2009	1:55:27 AM	47.73220	-122.20345
10/23/2009	1:55:32 AM	47.73222	-122.20345
10/23/2009	1:55:37 AM	47.73223	-122.20345
10/23/2009	1:55:42 AM	47.73225	-122.20352
10/23/2009	1:55:47 AM	47.73227	-122.20352
10/23/2009	1:55:52 AM	47.73233	-122.20357
10/23/2009	1:55:57 AM	47.73238	-122.20372
10/23/2009	1:56:02 AM	47.73243	-122.20382
10/23/2009	1:56:07 AM	47.73250	-122.20382
