Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/30/2009	9:58:57 PM	47.67442	-122.29018
10/30/2009	9:59:02 PM	47.67457	-122.29020
10/30/2009	9:59:07 PM	47.67460	-122.29028
10/30/2009	9:59:12 PM	47.67460	-122.29035
10/30/2009	9:59:17 PM	47.67460	-122.29028
10/30/2009	9:59:22 PM	47.67453	-122.29030
10/30/2009	9:59:27 PM	47.67450	-122.29032
10/30/2009	9:59:32 PM	47.67450	-122.29033
10/30/2009	9:59:37 PM	47.67450	-122.29032
10/30/2009	9:59:42 PM	47.67450	-122.29032
10/30/2009	9:59:47 PM	47.67448	-122.29025
10/30/2009	9:59:52 PM	47.67450	-122.29020
10/30/2009	9:59:57 PM	47.67450	-122.29013
10/30/2009	10:00:02 PM	47.67452	-122.29008
10/30/2009	10:00:07 PM	47.67453	-122.28998
10/30/2009	10:00:12 PM	47.67453	-122.28985
10/30/2009	10:00:17 PM	47.67453	-122.28980
10/30/2009	10:00:22 PM	47.67452	-122.28978
10/30/2009	10:00:27 PM	47.67450	-122.28978
10/30/2009	10:00:32 PM	47.67450	-122.28977
10/30/2009	10:00:37 PM	47.67450	-122.28977
10/30/2009	10:00:42 PM	47.67450	-122.28970
10/30/2009	10:00:47 PM	47.67450	-122.28970
10/30/2009	10:00:52 PM	47.67450	-122.28970
10/30/2009	10:00:57 PM	47.67452	-122.28972
10/30/2009	10:01:02 PM	47.67450	-122.28978
10/30/2009	10:01:07 PM	47.67450	-122.28985
10/30/2009	10:01:12 PM	47.67453	-122.28985
10/30/2009	10:01:17 PM	47.67452	-122.28992
10/30/2009	10:01:22 PM	47.67450	-122.28993
10/30/2009	10:01:27 PM	47.67448	-122.28993
10/30/2009	10:01:32 PM	47.67448	-122.28993
10/30/2009	10:01:37 PM	47.67448	-122.28998
10/30/2009	10:01:42 PM	47.67450	-122.28998
10/30/2009	10:01:47 PM	47.67452	-122.29002
10/30/2009	10:01:52 PM	47.67453	-122.29005
10/30/2009	10:01:57 PM	47.67452	-122.29003
10/30/2009	10:02:02 PM	47.67450	-122.29002
10/30/2009	10:02:07 PM	47.67448	-122.29000
10/30/2009	10:02:12 PM	47.67448	-122.29002
10/30/2009	10:02:17 PM	47.67448	-122.29003
10/30/2009	10:02:22 PM	47.67448	-122.29003
10/30/2009	10:02:27 PM	47.67448	-122.29002
10/30/2009	10:02:32 PM	47.67448	-122.29000
10/30/2009	10:02:37 PM	47.67448	-122.28997
10/30/2009	10:02:42 PM	47.67448	-122.28998
10/30/2009	10:02:47 PM	47.67448	-122.28998
10/30/2009	10:02:52 PM	47.67448	-122.28997
10/30/2009	10:02:57 PM	47.67448	-122.29000
10/30/2009	10:03:02 PM	47.67448	-122.28995
10/30/2009	10:03:07 PM	47.67448	-122.28993
10/30/2009	10:03:12 PM	47.67448	-122.28995
10/30/2009	10:03:17 PM	47.67453	-122.28997
10/30/2009	10:03:22 PM	47.67457	-122.28998
10/30/2009	10:03:27 PM	47.67453	-122.29000
10/30/2009	10:03:32 PM	47.67450	-122.29005
10/30/2009	10:03:37 PM	47.67457	-122.29002
10/30/2009	10:03:42 PM	47.67455	-122.29000
10/30/2009	10:03:47 PM	47.67450	-122.29002
10/30/2009	10:03:52 PM	47.67447	-122.29003
10/30/2009	10:03:57 PM	47.67448	-122.29007
10/30/2009	10:04:02 PM	47.67447	-122.29007
10/30/2009	10:04:07 PM	47.67450	-122.29003
10/30/2009	10:04:12 PM	47.67448	-122.29000
10/30/2009	10:04:17 PM	47.67450	-122.29003
10/30/2009	10:04:22 PM	47.67448	-122.29010
10/30/2009	10:04:27 PM	47.67453	-122.29015
10/30/2009	10:04:32 PM	47.67457	-122.29012
10/30/2009	10:04:37 PM	47.67455	-122.29008
10/30/2009	10:04:42 PM	47.67450	-122.29002
10/30/2009	10:04:47 PM	47.67447	-122.29002
10/30/2009	10:04:52 PM	47.67448	-122.29005
10/30/2009	10:04:57 PM	47.67447	-122.29007
10/30/2009	10:05:02 PM	47.67447	-122.29008
10/30/2009	10:05:07 PM	47.67450	-122.29012
10/30/2009	10:05:12 PM	47.67452	-122.29018
10/30/2009	10:05:17 PM	47.67452	-122.29015
10/30/2009	10:05:22 PM	47.67453	-122.29015
10/30/2009	10:05:27 PM	47.67448	-122.29015
10/30/2009	10:05:32 PM	47.67448	-122.29012
10/30/2009	10:05:37 PM	47.67450	-122.29008
10/30/2009	10:05:42 PM	47.67450	-122.29010
10/30/2009	10:05:47 PM	47.67450	-122.29002
10/30/2009	10:05:52 PM	47.67448	-122.29000
10/30/2009	10:05:57 PM	47.67450	-122.29003
10/30/2009	10:06:02 PM	47.67453	-122.28995
10/30/2009	10:06:07 PM	47.67453	-122.28990
10/30/2009	10:06:12 PM	47.67452	-122.28993
10/30/2009	10:06:17 PM	47.67450	-122.28993
10/30/2009	10:06:22 PM	47.67452	-122.28993
10/30/2009	10:06:27 PM	47.67450	-122.28990
10/30/2009	10:06:35 PM	47.67453	-122.28985
10/30/2009	10:06:40 PM	47.67452	-122.28983
10/30/2009	10:06:45 PM	47.67453	-122.28983
10/30/2009	10:06:50 PM	47.67453	-122.28988
10/30/2009	10:06:55 PM	47.67453	-122.28990
10/30/2009	10:07:00 PM	47.67453	-122.28993
10/30/2009	10:07:05 PM	47.67452	-122.29002
10/30/2009	10:07:10 PM	47.67453	-122.29015
10/30/2009	10:07:15 PM	47.67455	-122.29015
10/30/2009	10:07:20 PM	47.67458	-122.29027
10/30/2009	10:07:25 PM	47.67458	-122.29027
10/30/2009	10:07:30 PM	47.67457	-122.29025
10/30/2009	10:07:35 PM	47.67452	-122.29030
10/30/2009	10:07:40 PM	47.67452	-122.29025
10/30/2009	10:07:45 PM	47.67452	-122.29023
10/30/2009	10:07:50 PM	47.67450	-122.29018
10/30/2009	10:07:55 PM	47.67447	-122.29020
10/30/2009	10:08:00 PM	47.67443	-122.29017
10/30/2009	10:08:05 PM	47.67443	-122.29010
10/30/2009	10:08:10 PM	47.67442	-122.29008
10/30/2009	10:08:15 PM	47.67442	-122.29008
10/30/2009	10:08:20 PM	47.67437	-122.29015
10/30/2009	10:08:25 PM	47.67437	-122.29017
10/30/2009	10:08:32 PM	47.67442	-122.29010
