Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/26/2009	12:19:28 AM	47.66112	-122.31423
10/26/2009	12:19:33 AM	47.66112	-122.31423
10/26/2009	12:19:38 AM	47.66115	-122.31423
10/26/2009	12:19:43 AM	47.66118	-122.31420
10/26/2009	12:19:48 AM	47.66120	-122.31412
10/26/2009	12:19:53 AM	47.66125	-122.31407
10/26/2009	12:19:58 AM	47.66127	-122.31402
10/26/2009	12:20:03 AM	47.66128	-122.31408
10/26/2009	12:20:08 AM	47.66127	-122.31437
10/26/2009	12:20:13 AM	47.66125	-122.31488
10/26/2009	12:20:18 AM	47.66132	-122.31562
10/26/2009	12:20:23 AM	47.66132	-122.31633
10/26/2009	12:20:28 AM	47.66132	-122.31697
10/26/2009	12:20:33 AM	47.66130	-122.31760
10/26/2009	12:20:38 AM	47.66132	-122.31808
10/26/2009	12:20:43 AM	47.66130	-122.31815
10/26/2009	12:20:48 AM	47.66128	-122.31812
10/26/2009	12:20:53 AM	47.66128	-122.31810
10/26/2009	12:20:58 AM	47.66128	-122.31810
10/26/2009	12:21:03 AM	47.66127	-122.31810
10/26/2009	12:21:08 AM	47.66127	-122.31810
10/26/2009	12:21:13 AM	47.66128	-122.31810
10/26/2009	12:21:18 AM	47.66128	-122.31810
10/26/2009	12:21:23 AM	47.66128	-122.31810
10/26/2009	12:21:28 AM	47.66128	-122.31812
10/26/2009	12:21:33 AM	47.66128	-122.31812
10/26/2009	12:21:38 AM	47.66128	-122.31810
10/26/2009	12:21:43 AM	47.66130	-122.31812
10/26/2009	12:21:48 AM	47.66130	-122.31818
10/26/2009	12:21:53 AM	47.66132	-122.31855
10/26/2009	12:21:58 AM	47.66132	-122.31902
10/26/2009	12:22:03 AM	47.66132	-122.31958
10/26/2009	12:22:08 AM	47.66133	-122.32015
10/26/2009	12:22:13 AM	47.66135	-122.32077
10/26/2009	12:22:18 AM	47.66137	-122.32143
10/26/2009	12:22:23 AM	47.66137	-122.32195
10/26/2009	12:22:28 AM	47.66138	-122.32220
10/26/2009	12:22:33 AM	47.66138	-122.32238
10/26/2009	12:22:38 AM	47.66138	-122.32250
10/26/2009	12:22:43 AM	47.66138	-122.32258
10/26/2009	12:22:48 AM	47.66138	-122.32258
10/26/2009	12:22:53 AM	47.66137	-122.32272
10/26/2009	12:22:58 AM	47.66137	-122.32310
10/26/2009	12:23:03 AM	47.66138	-122.32360
10/26/2009	12:23:08 AM	47.66137	-122.32408
10/26/2009	12:23:13 AM	47.66137	-122.32453
10/26/2009	12:23:18 AM	47.66135	-122.32485
10/26/2009	12:23:23 AM	47.66135	-122.32518
10/26/2009	12:23:28 AM	47.66135	-122.32533
10/26/2009	12:23:33 AM	47.66135	-122.32535
10/26/2009	12:23:38 AM	47.66137	-122.32540
10/26/2009	12:23:43 AM	47.66138	-122.32553
10/26/2009	12:23:48 AM	47.66138	-122.32598
10/26/2009	12:23:53 AM	47.66140	-122.32670
10/26/2009	12:23:58 AM	47.66140	-122.32753
10/26/2009	12:24:03 AM	47.66142	-122.32835
10/26/2009	12:24:08 AM	47.66142	-122.32895
10/26/2009	12:24:13 AM	47.66143	-122.32918
10/26/2009	12:24:18 AM	47.66142	-122.32923
10/26/2009	12:24:23 AM	47.66140	-122.32925
10/26/2009	12:24:28 AM	47.66142	-122.32927
10/26/2009	12:24:33 AM	47.66140	-122.32942
10/26/2009	12:24:38 AM	47.66142	-122.32973
10/26/2009	12:24:43 AM	47.66142	-122.33003
10/26/2009	12:24:48 AM	47.66145	-122.33037
10/26/2009	12:24:53 AM	47.66145	-122.33052
