Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/27/2009	2:43:32 PM	47.68770	-122.34450
10/27/2009	2:43:37 PM	47.68820	-122.34445
10/27/2009	2:43:42 PM	47.68878	-122.34440
10/27/2009	2:43:47 PM	47.68938	-122.34438
10/27/2009	2:43:52 PM	47.69002	-122.34442
10/27/2009	2:43:57 PM	47.69052	-122.34442
10/27/2009	2:44:03 PM	47.69053	-122.34385
10/27/2009	2:44:08 PM	47.69057	-122.34298
10/27/2009	2:44:13 PM	47.69055	-122.34202
10/27/2009	2:44:18 PM	47.69050	-122.34107
10/27/2009	2:44:23 PM	47.69048	-122.34010
10/27/2009	2:44:28 PM	47.69048	-122.33908
10/27/2009	2:44:33 PM	47.69050	-122.33820
10/27/2009	2:44:38 PM	47.69048	-122.33752
10/27/2009	2:44:43 PM	47.69047	-122.33735
10/27/2009	2:44:48 PM	47.69047	-122.33725
10/27/2009	2:44:53 PM	47.69048	-122.33677
10/27/2009	2:44:58 PM	47.69047	-122.33602
10/27/2009	2:45:03 PM	47.69050	-122.33508
10/27/2009	2:45:08 PM	47.69050	-122.33415
10/27/2009	2:45:13 PM	47.69050	-122.33345
10/27/2009	2:45:18 PM	47.69053	-122.33275
10/27/2009	2:45:23 PM	47.69052	-122.33188
10/27/2009	2:45:28 PM	47.69047	-122.33082
10/27/2009	2:45:33 PM	47.69030	-122.32988
10/27/2009	2:45:38 PM	47.68975	-122.32942
10/27/2009	2:45:43 PM	47.68923	-122.32910
10/27/2009	2:45:48 PM	47.68890	-122.32892
10/27/2009	2:45:53 PM	47.68875	-122.32883
10/27/2009	2:45:58 PM	47.68870	-122.32878
10/27/2009	2:46:03 PM	47.68865	-122.32877
10/27/2009	2:46:08 PM	47.68863	-122.32873
10/27/2009	2:46:13 PM	47.68855	-122.32868
10/27/2009	2:46:18 PM	47.68852	-122.32865
10/27/2009	2:46:23 PM	47.68848	-122.32862
10/27/2009	2:46:28 PM	47.68843	-122.32857
10/27/2009	2:46:33 PM	47.68837	-122.32852
10/27/2009	2:46:38 PM	47.68797	-122.32815
10/27/2009	2:46:43 PM	47.68738	-122.32747
10/27/2009	2:46:48 PM	47.68670	-122.32658
10/27/2009	2:46:53 PM	47.68593	-122.32558
10/27/2009	2:46:58 PM	47.68513	-122.32452
10/27/2009	2:47:03 PM	47.68428	-122.32337
10/27/2009	2:47:08 PM	47.68333	-122.32232
10/27/2009	2:47:13 PM	47.68228	-122.32158
10/27/2009	2:47:18 PM	47.68110	-122.32115
10/27/2009	2:47:23 PM	47.67988	-122.32105
10/27/2009	2:47:28 PM	47.67872	-122.32103
10/27/2009	2:47:33 PM	47.67752	-122.32097
10/27/2009	2:47:38 PM	47.67632	-122.32098
10/27/2009	2:47:43 PM	47.67517	-122.32113
10/27/2009	2:47:48 PM	47.67403	-122.32143
10/27/2009	2:47:53 PM	47.67287	-122.32177
10/27/2009	2:47:58 PM	47.67168	-122.32207
10/27/2009	2:48:03 PM	47.67052	-122.32227
10/27/2009	2:48:08 PM	47.66942	-122.32233
10/27/2009	2:48:13 PM	47.66848	-122.32232
10/27/2009	2:48:18 PM	47.66775	-122.32232
10/27/2009	2:48:23 PM	47.66710	-122.32230
10/27/2009	2:48:28 PM	47.66665	-122.32228
10/27/2009	2:48:33 PM	47.66620	-122.32227
10/27/2009	2:48:38 PM	47.66580	-122.32227
10/27/2009	2:48:43 PM	47.66542	-122.32227
10/27/2009	2:48:48 PM	47.66505	-122.32227
10/27/2009	2:48:53 PM	47.66472	-122.32227
10/27/2009	2:48:58 PM	47.66437	-122.32225
10/27/2009	2:49:03 PM	47.66403	-122.32223
10/27/2009	2:49:08 PM	47.66368	-122.32222
10/27/2009	2:49:13 PM	47.66327	-122.32222
10/27/2009	2:49:18 PM	47.66282	-122.32223
10/27/2009	2:49:23 PM	47.66237	-122.32227
10/27/2009	2:49:28 PM	47.66188	-122.32232
10/27/2009	2:49:33 PM	47.66133	-122.32235
10/27/2009	2:49:38 PM	47.66067	-122.32242
10/27/2009	2:49:43 PM	47.66008	-122.32248
10/27/2009	2:49:48 PM	47.65968	-122.32250
10/27/2009	2:49:53 PM	47.65935	-122.32255
10/27/2009	2:49:58 PM	47.65913	-122.32257
10/27/2009	2:50:03 PM	47.65870	-122.32260
10/27/2009	2:50:08 PM	47.65810	-122.32260
10/27/2009	2:50:13 PM	47.65728	-122.32257
10/27/2009	2:50:18 PM	47.65633	-122.32252
10/27/2009	2:50:23 PM	47.65530	-122.32252
10/27/2009	2:50:28 PM	47.65450	-122.32255
10/27/2009	2:50:33 PM	47.65397	-122.32255
10/27/2009	2:50:38 PM	47.65353	-122.32253
10/27/2009	2:50:43 PM	47.65325	-122.32253
10/27/2009	2:50:48 PM	47.65293	-122.32255
10/27/2009	2:50:53 PM	47.65257	-122.32255
10/27/2009	2:50:58 PM	47.65237	-122.32255
10/27/2009	2:51:03 PM	47.65233	-122.32255
10/27/2009	2:51:08 PM	47.65235	-122.32257
10/27/2009	2:51:13 PM	47.65235	-122.32255
10/27/2009	2:51:18 PM	47.65235	-122.32257
10/27/2009	2:51:23 PM	47.65232	-122.32257
10/27/2009	2:51:28 PM	47.65217	-122.32257
10/27/2009	2:51:33 PM	47.65190	-122.32257
10/27/2009	2:51:38 PM	47.65160	-122.32257
10/27/2009	2:51:43 PM	47.65130	-122.32257
10/27/2009	2:51:48 PM	47.65092	-122.32257
10/27/2009	2:52:12 PM	47.64888	-122.32263
10/27/2009	2:53:43 PM	47.64413	-122.32318
10/27/2009	2:53:48 PM	47.64388	-122.32283
10/27/2009	2:53:55 PM	47.64357	-122.32298
10/27/2009	2:54:00 PM	47.64340	-122.32303
10/27/2009	2:54:36 PM	47.64235	-122.32213
10/27/2009	2:54:54 PM	47.64235	-122.32113
10/27/2009	2:54:59 PM	47.64245	-122.32065
10/27/2009	2:55:04 PM	47.64252	-122.32022
10/27/2009	2:55:09 PM	47.64262	-122.31965
10/27/2009	2:55:14 PM	47.64267	-122.31922
10/27/2009	2:55:19 PM	47.64268	-122.31882
10/27/2009	2:55:24 PM	47.64273	-122.31837
10/27/2009	2:55:29 PM	47.64285	-122.31787
10/27/2009	2:55:34 PM	47.64285	-122.31735
10/27/2009	2:55:39 PM	47.64288	-122.31688
10/27/2009	2:55:44 PM	47.64290	-122.31673
10/27/2009	2:55:49 PM	47.64292	-122.31662
10/27/2009	2:55:54 PM	47.64295	-122.31638
10/27/2009	2:55:59 PM	47.64297	-122.31613
10/27/2009	2:56:04 PM	47.64300	-122.31575
10/27/2009	2:56:09 PM	47.64303	-122.31523
10/27/2009	2:56:14 PM	47.64308	-122.31470
10/27/2009	2:56:19 PM	47.64312	-122.31408
10/27/2009	2:56:24 PM	47.64312	-122.31343
10/27/2009	2:56:29 PM	47.64313	-122.31277
10/27/2009	2:56:34 PM	47.64313	-122.31210
10/27/2009	2:56:39 PM	47.64315	-122.31152
10/27/2009	2:56:44 PM	47.64313	-122.31095
10/27/2009	2:56:49 PM	47.64315	-122.31055
10/27/2009	2:56:54 PM	47.64317	-122.31022
10/27/2009	2:56:59 PM	47.64318	-122.31002
10/27/2009	2:57:04 PM	47.64323	-122.30963
10/27/2009	2:57:09 PM	47.64328	-122.30922
10/27/2009	2:57:14 PM	47.64337	-122.30873
10/27/2009	2:57:19 PM	47.64347	-122.30820
