Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/26/2009	5:49:12 PM	47.64103	-122.32293
10/26/2009	5:49:17 PM	47.63992	-122.32295
10/26/2009	5:49:22 PM	47.63880	-122.32297
10/26/2009	5:49:27 PM	47.63765	-122.32300
10/26/2009	5:49:32 PM	47.63637	-122.32308
10/26/2009	5:49:37 PM	47.63500	-122.32337
10/26/2009	5:49:42 PM	47.63367	-122.32387
10/26/2009	5:49:47 PM	47.63238	-122.32445
10/26/2009	5:49:52 PM	47.63123	-122.32537
10/26/2009	5:49:57 PM	47.63017	-122.32655
10/26/2009	5:50:02 PM	47.62910	-122.32768
10/26/2009	5:50:07 PM	47.62800	-122.32847
10/26/2009	5:50:12 PM	47.62698	-122.32897
10/26/2009	5:50:17 PM	47.62582	-122.32905
10/26/2009	5:50:22 PM	47.62462	-122.32893
10/26/2009	5:50:27 PM	47.62352	-122.32893
10/26/2009	5:50:32 PM	47.62242	-122.32892
10/26/2009	5:50:37 PM	47.62133	-122.32893
10/26/2009	5:50:42 PM	47.62043	-122.32897
10/26/2009	5:50:47 PM	47.61993	-122.32905
10/26/2009	5:50:52 PM	47.61990	-122.32908
10/26/2009	5:50:57 PM	47.61992	-122.32908
10/26/2009	5:51:02 PM	47.61992	-122.32910
10/26/2009	5:51:07 PM	47.61965	-122.32937
10/26/2009	5:51:12 PM	47.61927	-122.32980
10/26/2009	5:51:17 PM	47.61910	-122.32998
10/26/2009	5:51:22 PM	47.61903	-122.32998
10/26/2009	5:51:27 PM	47.61905	-122.32998
10/26/2009	5:51:32 PM	47.61902	-122.33000
10/26/2009	5:51:37 PM	47.61892	-122.33012
10/26/2009	5:51:42 PM	47.61873	-122.33037
10/26/2009	5:51:47 PM	47.61848	-122.33055
10/26/2009	5:51:52 PM	47.61840	-122.33005
10/26/2009	5:51:57 PM	47.61843	-122.32928
10/26/2009	5:52:02 PM	47.61847	-122.32837
10/26/2009	5:52:07 PM	47.61850	-122.32750
10/26/2009	5:52:12 PM	47.61848	-122.32673
10/26/2009	5:52:17 PM	47.61843	-122.32627
10/26/2009	5:52:22 PM	47.61847	-122.32615
10/26/2009	5:52:27 PM	47.61852	-122.32575
10/26/2009	5:52:32 PM	47.61853	-122.32520
10/26/2009	5:52:37 PM	47.61857	-122.32452
10/26/2009	5:52:42 PM	47.61853	-122.32378
10/26/2009	5:52:47 PM	47.61863	-122.32323
10/26/2009	5:52:52 PM	47.61877	-122.32277
10/26/2009	5:52:57 PM	47.61877	-122.32230
10/26/2009	5:53:02 PM	47.61863	-122.32220
10/26/2009	5:53:07 PM	47.61838	-122.32223
10/26/2009	5:53:12 PM	47.61807	-122.32223
10/26/2009	5:53:17 PM	47.61778	-122.32225
10/26/2009	5:53:22 PM	47.61763	-122.32222
10/26/2009	5:53:27 PM	47.61760	-122.32215
10/26/2009	5:53:32 PM	47.61758	-122.32210
10/26/2009	5:53:37 PM	47.61753	-122.32208
10/26/2009	5:53:42 PM	47.61748	-122.32227
10/26/2009	5:53:47 PM	47.61752	-122.32287
10/26/2009	5:53:52 PM	47.61757	-122.32328
10/26/2009	5:53:57 PM	47.61758	-122.32340
10/26/2009	5:54:02 PM	47.61743	-122.32348
10/26/2009	5:54:07 PM	47.61712	-122.32348
10/26/2009	5:54:12 PM	47.61675	-122.32348
10/26/2009	5:54:17 PM	47.61652	-122.32350
10/26/2009	5:54:22 PM	47.61640	-122.32345
10/26/2009	5:54:27 PM	47.61642	-122.32310
10/26/2009	5:54:32 PM	47.61643	-122.32270
10/26/2009	5:54:37 PM	47.61642	-122.32237
10/26/2009	5:54:42 PM	47.61640	-122.32230
10/26/2009	5:54:47 PM	47.61633	-122.32232
10/26/2009	5:54:52 PM	47.61608	-122.32225
10/26/2009	5:54:57 PM	47.61568	-122.32228
10/26/2009	5:55:02 PM	47.61550	-122.32225
10/26/2009	5:55:07 PM	47.61548	-122.32223
10/26/2009	5:55:12 PM	47.61548	-122.32222
10/26/2009	5:55:17 PM	47.61552	-122.32222
10/26/2009	5:55:22 PM	47.61552	-122.32222
10/26/2009	5:55:27 PM	47.61553	-122.32222
10/26/2009	5:55:32 PM	47.61553	-122.32222
10/26/2009	5:55:37 PM	47.61553	-122.32222
10/26/2009	5:55:42 PM	47.61552	-122.32222
10/26/2009	5:55:47 PM	47.61548	-122.32222
10/26/2009	5:55:52 PM	47.61533	-122.32220
10/26/2009	5:55:57 PM	47.61497	-122.32218
10/26/2009	5:56:02 PM	47.61448	-122.32217
10/26/2009	5:56:07 PM	47.61413	-122.32213
10/26/2009	5:56:12 PM	47.61405	-122.32177
10/26/2009	5:56:17 PM	47.61408	-122.32127
10/26/2009	5:56:22 PM	47.61410	-122.32065
10/26/2009	5:56:27 PM	47.61408	-122.31990
10/26/2009	5:56:32 PM	47.61408	-122.31923
10/26/2009	5:56:37 PM	47.61410	-122.31863
10/26/2009	5:56:42 PM	47.61410	-122.31820
10/26/2009	5:56:47 PM	47.61413	-122.31815
10/26/2009	5:56:52 PM	47.61438	-122.31818
10/26/2009	5:56:57 PM	47.61465	-122.31818
10/26/2009	5:57:02 PM	47.61470	-122.31820
10/26/2009	5:57:07 PM	47.61473	-122.31825
10/26/2009	5:57:12 PM	47.61473	-122.31827
10/26/2009	5:57:17 PM	47.61473	-122.31825
10/26/2009	5:57:22 PM	47.61472	-122.31830
10/26/2009	5:57:27 PM	47.61472	-122.31830
10/26/2009	5:57:32 PM	47.61472	-122.31833
10/26/2009	5:57:37 PM	47.61470	-122.31835
10/26/2009	5:57:42 PM	47.61470	-122.31833
10/26/2009	5:57:47 PM	47.61470	-122.31832
10/26/2009	5:57:52 PM	47.61470	-122.31830
10/26/2009	5:57:57 PM	47.61468	-122.31825
10/26/2009	5:58:02 PM	47.61468	-122.31823
10/26/2009	5:58:07 PM	47.61468	-122.31822
10/26/2009	5:58:12 PM	47.61468	-122.31820
10/26/2009	5:58:17 PM	47.61468	-122.31818
10/26/2009	5:58:22 PM	47.61468	-122.31818
10/26/2009	5:58:27 PM	47.61468	-122.31818
10/26/2009	5:58:32 PM	47.61468	-122.31818
10/26/2009	5:58:37 PM	47.61467	-122.31818
10/26/2009	5:58:42 PM	47.61468	-122.31818
10/26/2009	5:58:47 PM	47.61473	-122.31818
10/26/2009	5:58:52 PM	47.61477	-122.31818
10/26/2009	5:58:57 PM	47.61480	-122.31818
10/26/2009	5:59:02 PM	47.61482	-122.31820
10/26/2009	5:59:07 PM	47.61478	-122.31822
10/26/2009	5:59:12 PM	47.61482	-122.31823
10/26/2009	5:59:17 PM	47.61487	-122.31822
10/26/2009	5:59:22 PM	47.61488	-122.31823
10/26/2009	5:59:27 PM	47.61488	-122.31820
10/26/2009	5:59:32 PM	47.61488	-122.31818
10/26/2009	5:59:37 PM	47.61487	-122.31818
10/26/2009	5:59:42 PM	47.61487	-122.31817
10/26/2009	5:59:47 PM	47.61487	-122.31815
10/26/2009	5:59:52 PM	47.61487	-122.31813
10/26/2009	5:59:57 PM	47.61487	-122.31812
10/26/2009	6:00:02 PM	47.61487	-122.31810
10/26/2009	6:00:07 PM	47.61487	-122.31810
10/26/2009	6:00:12 PM	47.61485	-122.31810
10/26/2009	6:00:17 PM	47.61485	-122.31815
10/26/2009	6:00:22 PM	47.61485	-122.31818
10/26/2009	6:00:27 PM	47.61487	-122.31823
10/26/2009	6:00:32 PM	47.61487	-122.31820
10/26/2009	6:00:37 PM	47.61487	-122.31817
10/26/2009	6:00:42 PM	47.61487	-122.31827
10/26/2009	6:00:47 PM	47.61487	-122.31830
10/26/2009	6:00:52 PM	47.61488	-122.31832
10/26/2009	6:00:57 PM	47.61488	-122.31833
10/26/2009	6:01:02 PM	47.61487	-122.31830
10/26/2009	6:01:07 PM	47.61487	-122.31828
10/26/2009	6:01:12 PM	47.61487	-122.31827
10/26/2009	6:01:17 PM	47.61487	-122.31827
10/26/2009	6:01:22 PM	47.61487	-122.31825
10/26/2009	6:01:27 PM	47.61487	-122.31825
10/26/2009	6:01:32 PM	47.61485	-122.31825
10/26/2009	6:01:37 PM	47.61485	-122.31825
10/26/2009	6:01:42 PM	47.61485	-122.31825
10/26/2009	6:01:47 PM	47.61485	-122.31823
10/26/2009	6:01:52 PM	47.61485	-122.31823
10/26/2009	6:01:57 PM	47.61485	-122.31822
10/26/2009	6:02:02 PM	47.61485	-122.31822
10/26/2009	6:02:07 PM	47.61485	-122.31820
10/26/2009	6:02:12 PM	47.61485	-122.31820
10/26/2009	6:02:17 PM	47.61485	-122.31820
10/26/2009	6:02:22 PM	47.61485	-122.31818
10/26/2009	6:02:27 PM	47.61485	-122.31818
10/26/2009	6:02:32 PM	47.61487	-122.31818
10/26/2009	6:02:37 PM	47.61490	-122.31817
10/26/2009	6:02:42 PM	47.61493	-122.31818
10/26/2009	6:02:47 PM	47.61497	-122.31820
10/26/2009	6:02:52 PM	47.61498	-122.31822
10/26/2009	6:02:57 PM	47.61498	-122.31822
