Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
11/13/2009	3:06:20 PM	47.93133	-122.26297
11/13/2009	3:06:25 PM	47.93132	-122.26290
11/13/2009	3:06:30 PM	47.93132	-122.26297
11/13/2009	3:06:35 PM	47.93135	-122.26305
11/13/2009	3:06:40 PM	47.93137	-122.26305
11/13/2009	3:06:45 PM	47.93135	-122.26302
11/13/2009	3:06:51 PM	47.93135	-122.26300
11/13/2009	3:06:56 PM	47.93133	-122.26308
11/13/2009	3:07:01 PM	47.93137	-122.26317
11/13/2009	3:07:06 PM	47.93148	-122.26307
11/13/2009	3:07:16 PM	47.93190	-122.26370
11/13/2009	3:07:21 PM	47.93190	-122.26377
11/13/2009	3:07:26 PM	47.93180	-122.26388
11/13/2009	3:07:31 PM	47.93162	-122.26400
11/13/2009	3:07:36 PM	47.93167	-122.26398
11/13/2009	3:07:41 PM	47.93175	-122.26395
11/13/2009	3:08:20 PM	47.93182	-122.26388
11/13/2009	3:08:27 PM	47.93178	-122.26403
11/13/2009	3:08:32 PM	47.93185	-122.26403
11/13/2009	3:08:37 PM	47.93198	-122.26395
11/13/2009	3:08:42 PM	47.93203	-122.26395
11/13/2009	3:08:47 PM	47.93192	-122.26400
11/14/2009	1:29:29 AM	47.93715	-122.26690
11/14/2009	1:29:34 AM	47.93720	-122.26758
11/14/2009	1:29:39 AM	47.93740	-122.26785
11/14/2009	1:29:44 AM	47.93798	-122.26778
11/14/2009	1:29:49 AM	47.93865	-122.26775
11/14/2009	1:29:54 AM	47.93942	-122.26772
11/14/2009	1:29:59 AM	47.94008	-122.26758
11/14/2009	1:30:04 AM	47.94063	-122.26715
11/14/2009	1:30:09 AM	47.94103	-122.26650
11/14/2009	1:30:14 AM	47.94113	-122.26565
11/14/2009	1:30:19 AM	47.94118	-122.26477
11/14/2009	1:30:24 AM	47.94122	-122.26377
11/14/2009	1:30:29 AM	47.94115	-122.26267
11/14/2009	1:30:34 AM	47.94115	-122.26162
11/14/2009	3:54:02 AM	47.93987	-122.23788
11/14/2009	3:54:07 AM	47.93935	-122.23730
11/14/2009	3:54:12 AM	47.93878	-122.23668
11/14/2009	3:54:17 AM	47.93827	-122.23608
11/14/2009	3:54:22 AM	47.93770	-122.23542
11/14/2009	3:54:27 AM	47.93720	-122.23472
11/14/2009	3:54:32 AM	47.93683	-122.23397
11/14/2009	3:54:37 AM	47.93658	-122.23313
11/14/2009	3:54:42 AM	47.93643	-122.23225
11/14/2009	3:54:47 AM	47.93642	-122.23132
11/14/2009	3:54:52 AM	47.93645	-122.23032
11/14/2009	3:54:57 AM	47.93648	-122.22928
11/14/2009	3:55:02 AM	47.93650	-122.22865
11/14/2009	3:55:07 AM	47.93652	-122.22855
11/14/2009	3:55:12 AM	47.93650	-122.22853
11/14/2009	3:55:17 AM	47.93650	-122.22857
11/14/2009	3:55:22 AM	47.93650	-122.22835
11/14/2009	3:55:27 AM	47.93650	-122.22765
11/14/2009	3:55:32 AM	47.93643	-122.22677
11/14/2009	3:55:37 AM	47.93640	-122.22595
11/14/2009	3:55:42 AM	47.93638	-122.22512
11/14/2009	3:55:47 AM	47.93638	-122.22427
11/14/2009	3:55:52 AM	47.93637	-122.22343
11/14/2009	3:55:57 AM	47.93633	-122.22258
11/14/2009	3:56:02 AM	47.93630	-122.22172
11/14/2009	3:56:07 AM	47.93627	-122.22083
11/14/2009	3:56:12 AM	47.93620	-122.21987
11/14/2009	3:56:17 AM	47.93617	-122.21903
11/14/2009	3:56:22 AM	47.93615	-122.21828
11/14/2009	3:56:27 AM	47.93613	-122.21775
11/14/2009	3:56:32 AM	47.93588	-122.21775
11/14/2009	3:56:37 AM	47.93583	-122.21798
11/14/2009	3:56:42 AM	47.93593	-122.21837
11/14/2009	3:56:47 AM	47.93595	-122.21863
11/14/2009	3:56:52 AM	47.93593	-122.21878
11/14/2009	3:56:57 AM	47.93593	-122.21887
11/14/2009	3:57:02 AM	47.93593	-122.21887
11/14/2009	3:57:07 AM	47.93595	-122.21887
11/14/2009	3:57:12 AM	47.93597	-122.21887
11/14/2009	3:57:17 AM	47.93595	-122.21885
11/14/2009	3:57:22 AM	47.93593	-122.21885
11/14/2009	3:57:27 AM	47.93593	-122.21885
11/14/2009	3:57:32 AM	47.93593	-122.21885
11/14/2009	3:57:37 AM	47.93595	-122.21882
11/14/2009	3:57:42 AM	47.93595	-122.21880
11/14/2009	3:57:47 AM	47.93593	-122.21872
11/14/2009	3:57:52 AM	47.93590	-122.21862
11/14/2009	3:57:57 AM	47.93585	-122.21858
11/14/2009	3:58:05 AM	47.93580	-122.21853
11/14/2009	3:58:10 AM	47.93572	-122.21850
11/14/2009	3:58:15 AM	47.93570	-122.21852
11/14/2009	3:58:20 AM	47.93567	-122.21855
11/14/2009	3:58:25 AM	47.93563	-122.21858
11/14/2009	3:58:30 AM	47.93563	-122.21858
11/14/2009	3:58:35 AM	47.93560	-122.21858
11/14/2009	3:58:40 AM	47.93560	-122.21857
11/14/2009	3:58:45 AM	47.93560	-122.21855
11/14/2009	3:58:50 AM	47.93560	-122.21855
11/14/2009	3:58:55 AM	47.93560	-122.21853
11/14/2009	3:59:00 AM	47.93560	-122.21852
11/14/2009	3:59:05 AM	47.93560	-122.21845
11/14/2009	3:59:10 AM	47.93562	-122.21842
11/14/2009	3:59:15 AM	47.93563	-122.21838
11/14/2009	3:59:20 AM	47.93565	-122.21837
11/14/2009	3:59:25 AM	47.93567	-122.21837
11/14/2009	3:59:30 AM	47.93565	-122.21835
